Hauptprobenummer,Bezeichnung,Probe_Entnahmeart,Probenahme_Beginn_Datum,Probenahme_Beginn_Zeit,Probenahme_Ende_Datum,Probenahme_Ende_Zeit,Umweltbereich,Messprogrammgruppe,Entnahmestelle,Herkunftsstaat,Methode,Pruefmerkmal,Ergebnis,Einheit
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Niob-95 Nb-95,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Technetium-99m Tc-99m,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Ruthenium-103 Ru-103,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Ruthenium-106 Ru-106,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Silber-110m Ag-110m,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Indium-111 In-111,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Antimon-124 Sb-124,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Antimon-125 Sb-125,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Tellur-123m Te-123m,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Tellur-132 Te-132,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Barium-140 Ba-140,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Lanthan-140 La-140,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Cer-139 Ce-139,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Cer-141 Ce-141,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Cer-144 Ce-144,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Thallium-201 Tl-201,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Actinium-227 Ac-227,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Neptunium-239 Np-239,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Americium-241 Am-241,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Messzeit,250000,s
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Tritium-LSC,Tritium H-3,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Tritium-LSC,Messzeit,118359,s
