model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.021683332121788336,0.10817842281430386,0.2303262955854127,0.08759124087591241,0.10978886756238003
GPT-4o,0.008303808057503241,0.0682644108158135,0.18314077877620882,0.06423982869379015,0.11382113821138212
Gemini,0.00923642716748816,0.07298745834063082,0.16666666666666666,0.05106382978723404,0.09183673469387754
Grok,0.015123787674348124,0.09854391330668442,0.22378199834847232,0.0768595041322314,0.11312964492155243
Claude,0.0119546844305405,0.07437468495765032,0.1740842851516345,0.05754828537642886,0.10555336746750689
