model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.0163582677076302,0.10712081341371345,0.21649009672961766,0.08667588750576302,0.12344541685859052
GPT-4o,0.005695751143780093,0.06345831469406771,0.18927789934354486,0.07228915662650603,0.11925601750547045
Gemini,0.00558915893350802,0.07323920470108225,0.2023089609675646,0.07815079801871216,0.12094557449147884
Grok,0.01725228457987608,0.10028371242640224,0.2402862985685071,0.10440122824974411,0.1339468302658487
Claude,0.017933942791300447,0.0949827654698269,0.23401360544217686,0.0926009986382206,0.1287981859410431
