variable,count,mean,std,min,25%,50%,75%,max
kenn,167.0,95741381.0,0.0,95741381.0,95741381.0,95741381.0,95741381.0,95741381.0
value,167.0,0.116688622754491,0.010645947354731757,0.098,0.106,0.119,0.122,0.155
validated,167.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
