Kulturdenkmaltyp,Anzahl,Anteil
Bauliche Anlage,9012,0.8066595059076263
Sachgesamtheit,884,0.07912638739706408
Gr�ndenkmal,818,0.073218761188686
Mehrheit von baulichen Anlagen,402,0.0359828141783029
Teil einer baulichen Anlage,39,0.003490870032223416
Sonstiges Denkmal,11,9.846043680630148e-4
Schutzzone,6,5.370569280343716e-4
