value_variable_label,count,mean,std,min,median,max
Gästeankünfte in Beherbergungsbetrieben,33,11173.878787878788,9052.88446697231,170,12393.0,24469
Gästeübernachtungen in Beherbergungsbetrieben,33,52042.06060606061,40831.90224409355,495,54582.0,102156
