time,Inland,Ausland
2014,0.9849315068493151,0.015068493150684932
2015,0.9761048796855527,0.02389512031444732
2016,0.9670404162544428,0.032959583745557144
2017,0.9628859917682123,0.037114008231787676
2018,0.9609363140477467,0.03906368595225325
2019,0.9635248288186984,0.03647517118130158
2020,0.965275278877294,0.03472472112270601
2021,0.9886133143088953,0.011386685691104676
2022,0.9719763857687687,0.028023614231231387
2023,0.9664728454520537,0.033527154547946275
2024,0.9671702769683835,0.03282972303161649
