Tabelle__73141_04i
""
""
""
""
""
Besteuerungsansatz
Volle nachgelagerte Besteuerung
Summe der Rentenleistungen
Tsd. EUR
2522544
40046
756461
92551
41013
92570
28752
28283
28138
25630
14278
19302
40947
40020
1518
3633
4618
4462
1792
1836
1952
3267
5833
1019
3085
976
2240
1235
1252
1303
104021
11576
7051
4098
12691
16050
8052
11080
19272
10365
3786
89514
12867
19613
4407
8684
7179
11575
21917
3271
47230
2798
2514
5961
5003
2393
3460
5368
11452
8281
64213
2331
8755
4980
2180
3694
13004
3571
4474
2434
1110
4310
10117
3254
624374
-
35279
107356
33958
72893
26625
5217
3111
11375
7563
2061
1419
2473
8935
4115
-
-
-
-
-
-
-
-
-
-
39951
1367
11624
933
1602
1474
4481
3230
3225
1417
1550
1902
2563
1613
1759
1213
104717
9130
17355
10552
5206
11860
10185
12243
11013
11728
5444
26442
2756
1190
675
7253
1194
1371
3470
1242
1685
2894
2711
31608
6811
1483
3379
4975
3925
883
2952
956
2443
3801
36213
1788
2813
6506
2220
3706
1368
1259
2357
2746
2231
2051
3942
3226
55524
21469
3997
3462
7278
3801
4643
5254
5620
80433
3079
3713
7834
2070
5464
6379
3970
3736
1940
3150
5960
3459
1293
6829
4723
2129
9141
3021
2541
386412
16148
22883
56639
52144
4942
10340
6271
2760
5138
998
1226
1534
1308
2083
2465
2670
988
3049
1272
1818
3281
42205
3352
2024
5199
7840
3271
4540
1819
4518
2363
1615
5664
82699
9057
4627
11107
8960
7603
7247
13328
3389
13638
3744
69356
2768
5062
6770
3087
824
950
7943
1273
1170
2859
1861
1930
1094
2441
1861
1913
2341
1838
9344
1311
6412
1551
1659
1093
44338
5047
4528
938
3335
3188
2183
4318
2312
2081
2686
4281
2406
7033
253301
36463
48330
1535
13568
3329
3076
2136
967
5807
3967
3397
2909
3383
2311
1945
31061
5354
2586
7620
2825
2045
5078
1252
1808
2492
19520
2500
1396
1601
2617
3609
651
706
2011
3527
902
38723
572
5942
881
1783
8036
734
1371
1888
1774
3432
4535
1985
1075
2588
1126
1001
41525
6277
2514
2309
1972
3690
9244
4066
4841
2017
2422
2171
37680
1152
1870
1806
2754
4040
2246
1443
16910
3593
1866
451135
39814
72972
17120
19515
14497
45632
1290
3616
3653
9091
5049
3009
4289
3520
12116
44589
16983
1530
3892
1136
475
2919
1140
4564
2104
3771
4013
2063
46301
1807
1712
2196
3851
1366
10198
1641
6378
2275
6424
775
1409
2877
1540
1852
16134
2579
1505
1753
2015
2996
3092
2196
35534
2661
1564
1082
2885
1733
3749
1885
3307
1763
11793
3113
43251
1459
2384
1528
2395
2580
2589
9437
1728
1609
6053
3772
2310
3533
1872
55774
4108
2080
3704
5411
4983
8006
7511
3480
8930
7561
2246365
37859
679208
82470
36881
86516
24608
25358
25116
22615
11635
16938
35365
34505
1293
3145
3743
3893
1672
1612
1675
2907
5135
983
2631
1108
1843
879
1085
900
95047
10698
6859
3775
11527
14964
6569
10601
17732
9372
2950
83663
11654
19755
4395
8453
5941
10273
20351
2841
40999
2707
1894
5147
4373
1950
3083
4437
9354
8053
57492
1867
8204
3918
2176
3221
11246
3384
3600
1853
1068
3925
10070
2962
552692
-
30220
91778
