Standort,Mittelwert,SD,Minimum,Q1,Median,Q3,Maximum
KBR,0.08783690476190475,0.0022400491740702114,0.08204,0.08623875000000002,0.087725,0.08930875,0.0942
KKB,0.08388125,0.0021347500344491947,0.079685,0.08236374999999999,0.083625,0.08492749999999999,0.090895
KKK,0.08642321428571428,0.002399561043048427,0.080495,0.084585,0.08653749999999999,0.08818875,0.096
