Kulturdenkmaltyp,Anzahl,Anteil_prozent
Bauliche Anlage,9012,80.66595059076262
Sachgesamtheit,884,7.912638739706408
Gründenkmal,818,7.321876118868601
Mehrheit von baulichen Anlagen,402,3.5982814178302904
Teil einer baulichen Anlage,39,0.3490870032223416
Sonstiges Denkmal,11,0.09846043680630148
Schutzzone,6,0.05370569280343716
