model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.024047637259460235,0.14188043165365496,0.312375249500998,0.12787212787212787,0.1626746506986028
GPT-4o,0.016649415929424944,0.10404885772449671,0.2898401237751418,0.09912235415591121,0.16400206291903044
Gemini,0.0032863914512043946,0.06791259519424006,0.17729204614450517,0.06322188449848025,0.10200364298724954
Grok,0.027726844724376105,0.1356464456123106,0.31431431431431434,0.11723446893787576,0.15915915915915915
Claude,0.029085241993887522,0.12174088210730956,0.2690909090909091,0.09827115559599636,0.14363636363636365
