typ,Ortsteil,Einzugsdatum,Registrierungssdatum,Alter,Geschlecht,Staat,Gebiet,Unterkunftsart,Wohndauer
Z,52,11.03.2022,14.04.2022,83,1,000,166,Privat,
Z,31,07.03.2022,08.03.2022,82,2,166,166,Privat,
Z,74,13.04.2022,26.04.2022,77,1,166,166,Privat,
Z,74,13.04.2022,26.04.2022,76,2,166,166,Privat,
Z,52,11.03.2022,14.04.2022,73,2,166,166,Privat,
Z,51,08.03.2022,10.03.2022,73,2,166,166,Privat,
Z,11,11.03.2022,11.03.2022,72,2,166,166,Privat,
Z,11,11.03.2022,11.03.2022,71,1,166,166,Privat,
Z,73,01.10.2022,10.10.2022,53,2,166,015,Privat,
Z,22,08.03.2022,25.03.2022,49,1,166,166,Privat,
Z,90,15.07.2022,26.07.2022,40,2,166,005,Privat,
Z,13,04.03.2022,07.03.2022,39,1,166,166,Privat,
Z,34,08.03.2022,11.03.2022,36,2,166,166,Privat,
Z,71,11.06.2022,06.07.2022,36,2,166,001,Privat,
Z,06,01.06.2022,20.06.2022,29,2,166,014,Privat,
Z,95,07.03.2022,25.03.2022,30,1,445,166,Privat,
Z,01,01.03.2022,31.03.2022,41,2,166,166,Privat,
Z,64,04.03.2022,07.03.2022,39,2,166,166,Privat,
Z,64,04.03.2022,07.03.2022,15,2,166,166,Privat,
Z,62,16.03.2022,05.04.2022,77,2,166,166,Privat,
Z,50,21.03.2022,08.04.2022,32,1,000,166,Privat,
Z,30,01.04.2022,19.04.2022,34,2,166,166,Privat,
Z,33,15.05.2022,24.05.2022,33,2,166,166,Privat,
Z,30,08.03.2022,24.03.2022,64,1,160,166,Privat,
Z,70,18.03.2022,31.03.2022,31,2,166,166,Privat,
Z,80,15.05.2022,19.05.2022,35,1,166,146,Privat,
Z,20,03.03.2022,09.03.2022,45,2,166,166,Privat,
Z,20,03.03.2022,09.03.2022,15,2,166,166,Privat,
Z,12,01.08.2022,11.08.2022,29,1,166,014,Privat,
Z,71,13.08.2022,13.08.2022,44,1,000,166,Privat,
Z,93,01.05.2022,10.05.2022,35,2,166,166,Privat,
Z,93,01.05.2022,10.05.2022,8,2,166,166,Privat,
Z,21,25.11.2022,25.11.2022,31,1,000,166,Privat,
Z,70,28.02.2022,02.05.2022,26,2,166,166,Privat,
Z,04,16.03.2022,06.04.2022,61,2,166,166,Privat,
Z,62,02.05.2022,06.05.2022,55,2,166,166,Privat,
Z,90,07.03.2022,21.03.2022,65,1,166,166,Privat,
Z,64,04.03.2022,07.03.2022,8,2,166,166,Privat,
Z,20,01.03.2022,12.05.2022,57,1,166,152,Privat,
Z,20,01.03.2022,12.05.2022,53,2,166,152,Privat,
Z,35,14.11.2022,15.12.2022,26,1,160,166,Privat,
Z,22,09.03.2022,09.03.2022,23,2,166,166,Privat,
Z,62,14.09.2022,15.09.2022,40,1,160,166,Privat,
Z,02,08.03.2022,28.03.2022,65,1,166,166,Privat,
Z,02,08.03.2022,28.03.2022,63,2,166,166,Privat,
Z,02,29.06.2022,29.06.2022,42,2,160,166,FMW,
Z,91,06.03.2022,21.04.2022,26,2,166,166,Privat,
Z,83,01.03.2022,22.04.2022,42,1,166,152,Privat,
Z,43,06.03.2022,10.03.2022,53,2,166,166,Privat,
Z,30,01.03.2022,03.03.2022,44,1,166,166,Privat,
Z,62,21.10.2022,01.11.2022,48,1,166,461,Privat,
Z,23,01.05.2022,20.05.2022,38,1,166,166,Privat,
Z,13,10.03.2022,11.03.2022,51,2,166,166,EAE,
Z,31,10.03.2022,10.03.2022,38,1,166,166,Privat,
Z,70,20.03.2022,22.03.2022,35,2,166,166,Privat,
Z,65,01.04.2022,27.04.2022,29,2,166,166,Privat,
Z,60,26.02.2022,05.04.2022,29,2,166,166,Privat,
Z,64,17.03.2022,29.03.2022,33,1,166,166,Privat,
Z,60,26.02.2022,10.03.2022,2,2,166,166,Privat,
Z,12,02.03.2022,17.03.2022,16,2,166,166,Privat,
Z,40,22.07.2022,28.07.2022,39,2,166,004,Privat,
Z,70,14.03.2022,22.04.2022,21,2,166,166,Privat,
Z,70,31.08.2022,07.09.2022,23,2,166,014,Privat,
Z,70,04.04.2022,11.04.2022,22,2,166,166,Privat,
Z,20,01.03.2022,12.08.2022,24,1,166,015,Privat,
Z,43,01.05.2022,03.05.2022,20,1,166,166,Privat,
Z,20,03.03.2022,08.03.2022,16,1,166,166,Privat,
Z,23,08.03.2022,15.03.2022,33,2,166,166,Privat,
Z,80,28.02.2022,09.03.2022,56,1,166,166,Privat,
Z,42,15.03.2022,04.04.2022,33,1,166,166,Privat,
Z,43,05.09.2022,08.09.2022,22,2,166,005,Privat,
Z,41,14.03.2022,18.03.2022,20,2,166,166,Privat,
Z,42,01.10.2022,07.10.2022,21,2,166,011,Privat,
Z,20,15.07.2022,12.08.2022,27,2,166,003,Privat,
Z,22,21.04.2022,20.05.2022,53,1,166,152,Privat,
Z,42,15.03.2022,04.04.2022,34,2,166,166,Privat,
Z,42,15.03.2022,04.04.2022,7,2,166,166,Privat,
Z,80,17.03.2022,22.04.2022,25,1,166,166,Privat,
Z,12,19.11.2022,22.11.2022,51,1,154,166,Privat,
Z,04,01.04.2022,01.04.2022,21,2,166,166,Privat,
Z,43,01.04.2022,01.04.2022,20,2,166,166,Privat,
Z,30,26.02.2022,07.03.2022,13,2,166,166,Privat,
Z,91,15.06.2022,21.06.2022,46,1,166,005,Privat,
Z,13,03.06.2022,07.06.2022,37,1,166,166,EAE,
Z,02,28.02.2022,14.03.2022,39,2,166,166,Privat,
Z,02,25.02.2022,02.03.2022,71,2,166,166,Privat,
Z,02,25.02.2022,02.03.2022,21,1,232,166,Privat,
Z,92,01.03.2022,02.03.2022,62,2,166,166,Privat,
Z,55,01.03.2022,02.03.2022,49,1,166,166,Privat,
Z,80,26.02.2022,02.03.2022,67,2,166,166,Privat,
Z,06,24.02.2022,02.03.2022,53,1,166,166,Privat,
Z,06,24.02.2022,02.03.2022,51,2,166,166,Privat,
Z,06,24.02.2022,02.03.2022,21,1,166,166,Privat,
Z,06,24.02.2022,02.03.2022,4,2,166,166,Privat,
Z,90,27.02.2022,03.03.2022,20,2,166,166,Privat,
Z,93,01.03.2022,03.03.2022,47,2,166,166,Privat,
Z,03,27.02.2022,03.03.2022,80,2,166,166,Privat,
Z,91,28.02.2022,03.03.2022,25,1,166,166,Privat,
Z,91,28.02.2022,03.03.2022,37,2,166,166,Privat,
Z,90,26.02.2022,03.03.2022,83,2,166,166,Privat,
Z,27,01.03.2022,03.03.2022,33,2,166,166,Privat,
Z,27,27.11.2022,06.12.2022,33,2,166,154,Privat,
Z,27,01.03.2022,03.03.2022,12,1,166,166,Privat,
Z,27,27.11.2022,06.12.2022,12,1,166,154,Privat,
Z,27,01.03.2022,03.03.2022,30,2,166,166,Privat,
Z,27,01.03.2022,03.03.2022,10,1,166,166,Privat,
Z,61,02.03.2022,03.03.2022,31,2,166,166,Privat,
Z,30,02.03.2022,03.03.2022,24,2,166,166,Privat,
Z,30,02.03.2022,03.03.2022,27,2,166,166,Privat,
Z,30,02.03.2022,03.03.2022,5,2,166,166,Privat,
Z,23,02.03.2022,03.03.2022,63,1,166,166,Privat,
Z,23,02.03.2022,03.03.2022,36,2,166,166,Privat,
Z,23,02.03.2022,03.03.2022,12,1,166,166,Privat,
Z,30,03.03.2022,03.03.2022,72,2,166,166,Privat,
Z,02,01.03.2022,03.03.2022,30,2,166,166,Privat,
Z,02,01.03.2022,03.03.2022,59,2,166,166,Privat,
Z,72,01.03.2022,03.03.2022,68,2,166,166,Privat,
Z,72,01.03.2022,03.03.2022,33,1,166,166,Privat,
Z,72,01.03.2022,03.03.2022,32,2,166,166,Privat,
Z,72,01.03.2022,03.03.2022,0,1,166,166,Privat,
Z,22,03.03.2022,03.03.2022,35,1,166,166,Privat,
Z,22,03.03.2022,03.03.2022,3,1,166,166,Privat,
Z,04,04.03.2022,04.03.2022,36,2,166,166,Privat,
Z,04,04.03.2022,04.03.2022,15,1,166,166,Privat,
Z,04,04.03.2022,04.03.2022,11,1,166,166,Privat,
Z,24,28.02.2022,04.03.2022,51,2,166,166,Privat,
Z,24,28.02.2022,04.03.2022,15,2,166,166,Privat,
Z,24,28.02.2022,04.03.2022,12,1,166,166,Privat,
Z,90,04.03.2022,04.03.2022,30,2,998,166,Privat,
Z,90,04.03.2022,04.03.2022,56,1,998,166,Privat,
Z,01,04.03.2022,04.03.2022,38,2,166,166,Privat,
Z,01,04.03.2022,04.03.2022,16,2,166,166,Privat,
Z,01,04.03.2022,04.03.2022,12,1,166,166,Privat,
Z,21,03.03.2022,04.03.2022,56,2,166,166,Privat,
Z,03,02.03.2022,04.03.2022,60,2,166,166,Privat,
Z,64,26.02.2022,04.03.2022,25,2,166,166,Privat,
Z,64,26.02.2022,04.03.2022,4,1,152,166,Privat,
Z,21,03.03.2022,04.03.2022,26,2,166,166,Privat,
Z,21,03.03.2022,04.03.2022,35,2,166,166,Privat,
Z,21,03.03.2022,04.03.2022,14,2,166,166,Privat,
Z,21,03.03.2022,04.03.2022,5,2,166,166,Privat,
Z,64,26.02.2022,04.03.2022,61,2,166,166,Privat,
Z,10,04.03.2022,04.03.2022,76,2,166,166,Privat,
Z,21,03.03.2022,04.03.2022,38,2,166,166,Privat,
Z,21,03.03.2022,04.03.2022,7,2,166,166,Privat,
Z,21,03.03.2022,04.03.2022,14,2,166,166,Privat,
Z,90,02.03.2022,04.03.2022,73,1,166,166,Privat,
Z,40,26.02.2022,04.03.2022,33,2,166,166,Privat,
Z,40,26.02.2022,04.03.2022,5,2,166,166,Privat,
Z,94,27.02.2022,04.03.2022,37,1,166,166,Privat,
Z,90,02.03.2022,04.03.2022,29,2,166,166,Privat,
Z,90,02.03.2022,04.03.2022,0,2,166,166,Privat,
Z,94,27.02.2022,04.03.2022,35,2,166,166,Privat,
Z,94,27.02.2022,04.03.2022,14,2,166,166,Privat,
Z,94,27.02.2022,04.03.2022,7,1,166,166,Privat,
Z,03,01.03.2022,04.03.2022,70,2,166,166,Privat,
Z,94,27.02.2022,04.03.2022,30,2,166,166,Privat,
Z,94,27.02.2022,04.03.2022,5,2,166,166,Privat,
Z,94,27.02.2022,04.03.2022,1,1,166,166,Privat,
Z,94,27.02.2022,04.03.2022,1,1,166,166,Privat,
Z,51,01.03.2022,04.03.2022,30,2,166,166,Privat,
Z,51,01.03.2022,04.03.2022,5,2,166,166,Privat,
Z,02,28.02.2022,04.03.2022,70,1,166,166,Privat,
Z,02,28.02.2022,04.03.2022,64,2,166,166,Privat,
Z,70,03.03.2022,04.03.2022,40,1,166,166,Privat,
Z,70,03.03.2022,04.03.2022,12,2,166,166,Privat,
Z,24,02.03.2022,04.03.2022,44,2,166,166,Privat,
Z,24,02.03.2022,04.03.2022,17,2,166,166,Privat,
Z,05,01.03.2022,04.03.2022,34,2,166,166,Privat,
Z,05,01.03.2022,04.03.2022,3,1,166,166,Privat,
Z,70,03.03.2022,04.03.2022,34,2,166,166,Privat,
Z,70,03.03.2022,04.03.2022,11,2,166,166,Privat,
Z,70,03.03.2022,04.03.2022,6,2,166,166,Privat,
Z,24,02.03.2022,04.03.2022,39,2,166,166,Privat,
Z,24,02.03.2022,04.03.2022,16,1,166,166,Privat,
Z,24,02.03.2022,04.03.2022,7,2,166,166,Privat,
Z,24,02.03.2022,04.03.2022,15,1,166,166,Privat,
Z,70,03.03.2022,04.03.2022,34,2,166,166,Privat,
Z,70,03.03.2022,04.03.2022,11,1,166,166,Privat,
Z,02,03.03.2022,04.03.2022,76,1,166,166,Privat,
Z,51,02.03.2022,04.03.2022,63,2,166,166,Privat,
Z,02,03.03.2022,04.03.2022,74,2,166,166,Privat,
Z,51,01.03.2022,04.03.2022,39,2,166,166,Privat,
Z,01,01.03.2022,04.03.2022,21,2,166,166,Privat,
Z,01,01.03.2022,04.03.2022,44,2,166,166,Privat,
Z,51,03.03.2022,04.03.2022,64,2,166,166,Privat,
Z,03,04.03.2022,04.03.2022,42,2,166,166,Privat,
Z,03,04.03.2022,04.03.2022,12,1,166,166,Privat,
Z,03,04.03.2022,04.03.2022,43,1,166,166,Privat,
Z,50,05.03.2022,05.03.2022,44,2,166,166,Privat,
Z,50,05.03.2022,05.03.2022,10,2,166,166,Privat,
Z,01,01.03.2022,05.03.2022,50,2,166,166,Privat,
Z,14,02.03.2022,05.03.2022,17,1,166,166,Privat,
Z,01,01.03.2022,05.03.2022,28,2,166,166,Privat,
Z,01,01.03.2022,05.03.2022,84,2,166,166,Privat,
Z,14,02.03.2022,05.03.2022,37,2,166,166,Privat,
Z,01,01.03.2022,05.03.2022,24,2,166,166,Privat,
Z,01,01.03.2022,05.03.2022,6,1,166,166,Privat,
Z,23,01.03.2022,05.03.2022,82,2,166,166,Privat,
Z,91,04.03.2022,05.03.2022,31,2,166,166,Privat,
Z,91,04.03.2022,05.03.2022,1,1,166,166,Privat,
Z,91,04.03.2022,05.03.2022,5,2,166,166,Privat,
Z,91,04.03.2022,05.03.2022,1,1,166,166,Privat,
Z,23,01.03.2022,05.03.2022,85,1,166,166,Privat,
Z,91,04.03.2022,05.03.2022,32,1,166,166,Privat,
Z,52,05.03.2022,05.03.2022,37,2,166,166,Privat,
Z,52,05.03.2022,05.03.2022,9,1,166,166,Privat,
Z,52,05.03.2022,05.03.2022,59,2,166,166,Privat,
Z,02,05.03.2022,07.03.2022,24,1,166,166,Privat,
Z,22,06.03.2022,07.03.2022,41,2,166,166,Privat,
Z,22,06.03.2022,07.03.2022,14,1,166,166,Privat,
Z,32,28.02.2022,07.03.2022,55,2,166,166,Privat,
Z,22,06.03.2022,07.03.2022,20,2,166,166,Privat,
Z,32,28.02.2022,07.03.2022,27,2,166,166,Privat,
Z,02,05.03.2022,07.03.2022,56,2,166,166,Privat,
Z,13,26.02.2022,07.03.2022,21,2,166,166,EAE,
Z,13,26.02.2022,07.03.2022,1,1,166,166,EAE,
Z,90,05.03.2022,07.03.2022,38,2,166,166,Privat,
Z,82,06.03.2022,07.03.2022,40,2,166,166,Privat,
Z,13,26.02.2022,07.03.2022,39,1,166,166,EAE,
Z,82,06.03.2022,07.03.2022,6,2,166,166,Privat,
Z,34,02.03.2022,07.03.2022,41,2,166,166,Privat,
Z,34,07.03.2022,07.03.2022,15,2,166,166,Privat,
Z,90,06.03.2022,07.03.2022,24,2,166,166,Privat,
Z,04,03.03.2022,07.03.2022,39,2,166,166,Privat,
Z,29,28.02.2022,07.03.2022,40,2,166,166,Privat,
Z,04,03.03.2022,07.03.2022,13,2,166,166,Privat,
Z,29,28.02.2022,07.03.2022,14,1,166,166,Privat,
Z,40,24.02.2022,07.03.2022,54,1,166,166,Privat,
Z,04,03.03.2022,07.03.2022,9,2,166,166,Privat,
Z,29,28.02.2022,07.03.2022,5,1,166,166,Privat,
Z,43,06.03.2022,07.03.2022,43,2,166,166,Privat,
Z,43,06.03.2022,07.03.2022,15,1,166,166,Privat,
Z,40,24.02.2022,07.03.2022,35,1,166,166,Privat,
Z,50,28.02.2022,07.03.2022,72,2,166,166,Privat,
Z,43,06.03.2022,07.03.2022,19,2,166,166,Privat,
Z,40,24.02.2022,07.03.2022,37,1,166,166,Privat,
Z,24,06.03.2022,07.03.2022,43,2,166,166,Privat,
Z,50,28.02.2022,07.03.2022,72,1,166,166,Privat,
Z,24,06.03.2022,07.03.2022,14,1,166,166,Privat,
Z,72,05.03.2022,07.03.2022,36,2,166,166,Privat,
Z,72,05.03.2022,07.03.2022,12,1,166,166,Privat,
Z,13,03.03.2022,07.03.2022,42,2,166,166,EAE,
Z,50,28.02.2022,07.03.2022,42,2,166,166,Privat,
Z,31,06.03.2022,07.03.2022,56,2,166,166,Privat,
Z,50,28.02.2022,07.03.2022,16,2,166,166,Privat,
Z,31,06.03.2022,07.03.2022,31,2,166,166,Privat,
Z,31,06.03.2022,07.03.2022,3,2,166,166,Privat,
Z,31,06.03.2022,07.03.2022,6,2,166,166,Privat,
Z,50,04.03.2022,07.03.2022,42,2,166,166,Privat,
Z,50,04.03.2022,07.03.2022,13,1,166,166,Privat,
Z,01,07.03.2022,07.03.2022,41,2,166,166,Privat,
Z,11,04.03.2022,07.03.2022,64,1,166,166,Privat,
Z,11,04.03.2022,07.03.2022,64,2,166,166,Privat,
Z,94,03.03.2022,07.03.2022,36,2,166,166,Privat,
Z,01,07.03.2022,07.03.2022,42,1,436,166,Privat,
Z,03,04.03.2022,07.03.2022,48,2,166,166,Privat,
Z,03,04.03.2022,07.03.2022,10,2,166,166,Privat,
Z,03,04.03.2022,07.03.2022,12,1,166,166,Privat,
Z,71,07.03.2022,07.03.2022,19,2,166,166,Privat,
Z,94,03.03.2022,07.03.2022,62,1,166,166,Privat,
Z,92,28.02.2022,07.03.2022,40,2,166,166,Privat,
Z,70,07.03.2022,07.03.2022,67,2,166,166,Privat,
Z,71,07.03.2022,07.03.2022,46,2,166,166,Privat,
Z,71,07.03.2022,07.03.2022,15,1,166,166,Privat,
Z,94,03.03.2022,07.03.2022,12,1,166,166,Privat,
Z,92,28.02.2022,07.03.2022,16,1,166,166,Privat,
Z,70,07.03.2022,07.03.2022,41,1,166,166,Privat,
Z,94,03.03.2022,07.03.2022,9,1,166,166,Privat,
Z,71,07.03.2022,07.03.2022,74,2,166,166,Privat,
Z,06,04.03.2022,07.03.2022,42,2,166,166,Privat,
Z,06,04.03.2022,07.03.2022,13,2,166,166,Privat,
Z,03,05.03.2022,07.03.2022,56,2,166,166,Privat,
Z,92,05.03.2022,07.03.2022,74,1,166,166,Privat,
Z,92,04.03.2022,07.03.2022,74,2,166,166,Privat,
Z,03,05.03.2022,07.03.2022,62,2,166,166,Privat,
Z,95,02.03.2022,07.03.2022,52,2,166,166,Privat,
Z,03,05.03.2022,07.03.2022,34,2,166,166,Privat,
Z,03,05.03.2022,07.03.2022,9,2,166,166,Privat,
Z,92,05.03.2022,07.03.2022,48,2,166,166,Privat,
Z,92,05.03.2022,07.03.2022,23,1,166,166,Privat,
Z,92,05.03.2022,07.03.2022,24,2,166,166,Privat,
Z,20,04.03.2022,07.03.2022,33,2,166,166,Privat,
Z,54,06.03.2022,07.03.2022,45,1,166,166,Privat,
Z,54,06.03.2022,07.03.2022,9,1,166,166,Privat,
Z,54,06.03.2022,07.03.2022,9,1,166,166,Privat,
Z,91,06.03.2022,07.03.2022,62,2,166,166,Privat,
Z,54,06.03.2022,07.03.2022,41,2,166,166,Privat,
Z,54,06.03.2022,07.03.2022,9,1,166,166,Privat,
Z,54,06.03.2022,07.03.2022,4,1,166,166,Privat,
Z,20,28.02.2022,07.03.2022,34,2,166,166,Privat,
Z,20,28.02.2022,07.03.2022,8,2,166,166,Privat,
Z,20,28.02.2022,07.03.2022,7,1,166,166,Privat,
Z,31,27.02.2022,07.03.2022,36,2,166,166,Privat,
Z,31,27.02.2022,07.03.2022,11,1,166,166,Privat,
Z,31,27.02.2022,07.03.2022,9,2,166,166,Privat,
Z,91,06.03.2022,07.03.2022,0,2,166,166,Privat,
Z,91,06.03.2022,07.03.2022,14,2,166,166,Privat,
Z,91,06.03.2022,07.03.2022,6,1,166,166,Privat,
Z,00,04.03.2022,07.03.2022,63,2,166,166,Privat,
Z,06,06.03.2022,07.03.2022,47,2,166,166,Privat,
Z,06,06.03.2022,07.03.2022,12,1,166,166,Privat,
Z,06,06.03.2022,07.03.2022,6,1,166,166,Privat,
Z,29,06.03.2022,07.03.2022,40,2,166,166,Privat,
Z,29,06.03.2022,07.03.2022,6,2,166,166,Privat,
Z,21,02.03.2022,07.03.2022,27,2,166,166,Privat,
Z,40,04.03.2022,07.03.2022,63,2,166,166,Privat,
Z,04,04.03.2022,07.03.2022,27,2,166,166,Privat,
Z,40,04.03.2022,07.03.2022,67,1,166,166,Privat,
Z,21,02.03.2022,07.03.2022,27,2,166,166,Privat,
Z,21,02.03.2022,07.03.2022,3,1,166,166,Privat,
Z,21,02.03.2022,07.03.2022,7,2,166,166,Privat,
Z,31,05.03.2022,07.03.2022,46,2,166,166,Privat,
Z,31,05.03.2022,07.03.2022,8,2,166,166,Privat,
Z,06,06.03.2022,07.03.2022,30,2,166,166,Privat,
Z,06,06.03.2022,07.03.2022,2,2,166,166,Privat,
Z,06,06.03.2022,07.03.2022,6,1,166,166,Privat,
Z,71,25.02.2022,07.03.2022,36,2,166,166,Privat,
Z,71,25.02.2022,07.03.2022,15,2,166,166,Privat,
Z,63,05.03.2022,07.03.2022,40,2,166,166,Privat,
Z,31,05.03.2022,07.03.2022,41,2,166,166,Privat,
Z,31,05.03.2022,07.03.2022,11,2,166,166,Privat,
Z,02,06.03.2022,07.03.2022,41,1,166,166,Privat,
Z,02,06.03.2022,07.03.2022,10,1,166,166,Privat,
Z,93,02.03.2022,07.03.2022,41,1,166,166,Privat,
Z,63,05.03.2022,07.03.2022,12,1,166,166,Privat,
Z,31,05.03.2022,07.03.2022,41,2,166,166,Privat,
Z,31,05.03.2022,07.03.2022,9,2,166,166,Privat,
Z,63,05.03.2022,07.03.2022,9,2,166,166,Privat,
Z,34,07.03.2022,07.03.2022,37,1,166,166,Privat,
Z,31,05.03.2022,07.03.2022,42,1,166,166,Privat,
Z,50,28.02.2022,07.03.2022,61,1,166,166,Privat,
Z,93,02.03.2022,07.03.2022,36,2,166,166,Privat,
Z,93,02.03.2022,07.03.2022,13,2,166,166,Privat,
Z,93,02.03.2022,07.03.2022,9,2,166,166,Privat,
Z,50,28.02.2022,07.03.2022,58,2,166,166,Privat,
Z,34,07.03.2022,07.03.2022,36,2,166,166,Privat,
Z,34,07.03.2022,07.03.2022,12,1,166,166,Privat,
Z,34,07.03.2022,07.03.2022,10,2,166,166,Privat,
Z,04,06.03.2022,07.03.2022,67,2,166,166,Privat,
Z,35,07.03.2022,07.03.2022,79,1,166,166,Privat,
Z,95,04.03.2022,07.03.2022,31,2,166,166,Privat,
Z,95,04.03.2022,07.03.2022,4,2,166,166,Privat,
Z,35,07.03.2022,07.03.2022,76,2,166,166,Privat,
Z,40,04.03.2022,07.03.2022,88,2,166,166,Privat,
Z,04,06.03.2022,07.03.2022,16,2,166,166,Privat,
Z,41,05.03.2022,07.03.2022,30,2,166,166,Privat,
Z,30,07.03.2022,07.03.2022,72,1,166,166,Privat,
Z,51,02.03.2022,07.03.2022,53,1,166,166,Privat,
Z,64,05.03.2022,07.03.2022,17,2,166,166,Privat,
Z,21,07.03.2022,07.03.2022,61,2,166,166,Privat,
Z,20,05.03.2022,07.03.2022,36,1,166,166,Privat,
Z,64,05.03.2022,07.03.2022,59,2,166,166,Privat,
Z,64,05.03.2022,07.03.2022,29,2,166,166,Privat,
Z,60,03.03.2022,07.03.2022,35,2,166,166,Privat,
Z,20,05.03.2022,07.03.2022,36,2,166,166,Privat,
Z,20,05.03.2022,07.03.2022,5,1,166,166,Privat,
Z,20,05.03.2022,07.03.2022,13,2,166,166,Privat,
Z,20,05.03.2022,07.03.2022,3,2,166,166,Privat,
Z,20,05.03.2022,07.03.2022,57,2,166,166,Privat,
Z,01,07.03.2022,07.03.2022,37,2,166,166,Privat,
Z,01,03.03.2022,07.03.2022,63,2,166,166,Privat,
Z,01,07.03.2022,07.03.2022,12,1,166,166,Privat,
Z,01,07.03.2022,07.03.2022,0,2,166,166,Privat,
Z,01,03.03.2022,07.03.2022,55,2,166,166,Privat,
Z,04,06.03.2022,07.03.2022,40,2,166,166,Privat,
Z,04,06.03.2022,07.03.2022,9,2,166,166,Privat,
Z,01,03.03.2022,07.03.2022,23,2,166,166,Privat,
Z,04,06.03.2022,07.03.2022,21,2,166,166,Privat,
Z,01,03.03.2022,07.03.2022,18,2,166,166,Privat,
Z,01,03.03.2022,07.03.2022,26,2,166,166,Privat,
Z,10,02.03.2022,07.03.2022,70,2,166,166,Privat,
Z,01,06.03.2022,07.03.2022,57,2,166,166,Privat,
Z,95,26.02.2022,07.03.2022,41,2,166,166,Privat,
Z,95,26.02.2022,07.03.2022,13,2,166,166,Privat,
Z,80,04.03.2022,07.03.2022,41,2,166,166,Privat,
Z,80,04.03.2022,07.03.2022,6,2,166,166,Privat,
Z,10,02.03.2022,07.03.2022,45,1,166,166,Privat,
Z,93,02.03.2022,07.03.2022,60,2,166,166,Privat,
Z,95,26.02.2022,07.03.2022,19,2,166,166,Privat,
Z,93,20.07.2022,19.09.2022,20,2,166,009,Privat,
Z,95,26.02.2022,07.03.2022,20,1,166,166,Privat,
Z,95,03.06.2022,13.09.2022,21,1,166,009,Privat,
Z,10,02.03.2022,07.03.2022,14,1,166,166,Privat,
Z,04,28.02.2022,07.03.2022,30,2,166,166,Privat,
Z,04,28.02.2022,07.03.2022,2,2,166,166,Privat,
Z,28,04.03.2022,07.03.2022,44,2,166,166,Privat,
Z,28,04.03.2022,07.03.2022,9,1,166,166,Privat,
Z,28,04.03.2022,07.03.2022,13,1,166,166,Privat,
Z,05,02.03.2022,07.03.2022,44,2,166,166,Privat,
Z,05,02.03.2022,07.03.2022,43,2,166,166,Privat,
Z,05,02.03.2022,07.03.2022,17,1,166,166,Privat,
Z,05,02.03.2022,07.03.2022,15,2,166,166,Privat,
Z,14,03.03.2022,07.03.2022,42,1,166,166,Privat,
Z,14,03.03.2022,07.03.2022,39,2,166,166,Privat,
Z,14,03.03.2022,07.03.2022,16,1,166,166,Privat,
Z,14,03.03.2022,07.03.2022,9,1,166,166,Privat,
Z,14,06.03.2022,08.03.2022,53,2,166,166,Privat,
Z,14,06.03.2022,08.03.2022,17,1,166,166,Privat,
Z,31,04.03.2022,08.03.2022,45,2,166,166,Privat,
Z,31,04.03.2022,08.03.2022,13,1,166,166,Privat,
Z,74,02.03.2022,08.03.2022,31,1,166,166,Privat,
Z,40,01.03.2022,08.03.2022,23,2,166,166,Privat,
Z,73,05.03.2022,08.03.2022,36,2,166,166,Privat,
Z,29,04.03.2022,08.03.2022,33,2,166,166,Privat,
Z,29,04.03.2022,08.03.2022,5,2,166,166,Privat,
Z,29,04.03.2022,08.03.2022,9,2,166,166,Privat,
Z,74,02.03.2022,08.03.2022,33,2,166,166,Privat,
Z,10,25.02.2022,08.03.2022,54,2,166,166,Privat,
Z,41,03.03.2022,08.03.2022,47,2,166,166,Privat,
Z,74,02.03.2022,08.03.2022,3,2,166,166,Privat,
Z,10,03.03.2022,08.03.2022,32,2,166,166,Privat,
Z,10,03.03.2022,08.03.2022,7,1,166,166,Privat,
Z,41,03.03.2022,08.03.2022,7,2,166,166,Privat,
Z,95,05.03.2022,08.03.2022,73,2,166,166,Privat,
Z,10,03.03.2022,08.03.2022,35,1,166,166,Privat,
Z,41,03.03.2022,08.03.2022,4,1,166,166,Privat,
Z,41,03.03.2022,08.03.2022,42,1,166,166,Privat,
Z,95,05.03.2022,08.03.2022,52,2,166,166,Privat,
Z,93,06.03.2022,08.03.2022,43,1,166,166,Privat,
Z,04,08.03.2022,08.03.2022,14,2,166,166,Privat,
Z,27,06.03.2022,08.03.2022,38,2,166,166,Privat,
Z,27,06.03.2022,08.03.2022,7,1,166,166,Privat,
Z,95,05.03.2022,08.03.2022,29,2,166,166,Privat,
Z,93,06.03.2022,08.03.2022,16,1,166,166,Privat,
Z,21,08.03.2022,08.03.2022,58,2,166,166,Privat,
Z,22,02.03.2022,08.03.2022,63,2,166,166,Privat,
Z,74,02.03.2022,08.03.2022,31,1,166,166,Privat,
Z,22,02.03.2022,08.03.2022,62,1,166,166,Privat,
Z,90,01.03.2022,08.03.2022,32,2,166,166,Privat,
Z,90,01.03.2022,08.03.2022,2,2,166,166,Privat,
Z,20,06.03.2022,08.03.2022,42,2,166,166,Privat,
Z,20,06.03.2022,08.03.2022,10,2,166,166,Privat,
Z,20,06.03.2022,08.03.2022,8,2,166,166,Privat,
Z,64,05.03.2022,08.03.2022,42,2,166,166,Privat,
