2_variable_attribute_label,n,mean,sd,min,median,max
Ausland,11,1922.7272727272727,687.0428066589578,621,2014,2964
Inland,11,17913.909090909092,2553.73661345666,14781,16161,21231
Insgesamt,11,19836.636363636364,3049.2644120419363,15402,18293,23834
