value_variable_label,n,jahre,mittelwert,sd,minimum,q1,median,q3,maximum
Gästeankünfte in Beherbergungsbetrieben,33,11,7173.69696969697,4691.815649916675,386,1485,8114,11162,13959
Gästeübernachtungen in Beherbergungsbetrieben,33,11,13224.424242424242,8460.87836763382,621,2132,16127,20465,23834
