pegelNummer;pegelName;betreiber;gewaesser;geogrLaenge;geogrBreite;von;bis;parameter;stillgelegtAm;isDFUE;einzugsgebiet;pnp;pnp_gueltig_ab;gewaesserfolge
114612;Bovenau;LKN, Kiel;---;9.831105;54.329380;2012-12-04;;Abfluss;2014-12-18;false;18.81;5.015000;2012-10-04;
110204;St. Peter-Ording;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;---;8.578000;54.308807;2012-06-12;;Wasserstand;2013-10-28;false;;-5.000000;2012-06-07;
111058;Dieksander Koog;LKN, Husum;Dieksander Priel;8.886937;54.001316;2018-09-20;2020-01-22;Abfluss;;true;11.15;-5.020000;2018-01-01;
114224;Eggebek;LKN, Husum;Treene;9.376074;54.616074;1984-11-01;2020-01-22;Wasserstand;;true;194.58;5.000000;1994-11-01;Eider, Nordsee
114563;Averfleth;LKN, Itzehoe;Wilsterau;9.317082;53.936939;2005-12-01;;Wasserstand;;false;9.64;-5.000000;2005-12-01;
114333;Föhrden-Barl;LKN, Itzehoe;Bramau;9.787522;53.925789;1991-07-01;2020-01-22;Wasserstand;;true;458.6;1.144000;1994-11-01;Elbe
114460;Bad Schwartau;LKN, Kiel;Schwartau;10.698393;53.923470;2002-10-20;2020-01-22;Wasserstand;;true;207.89;-1.277000;2008-06-11;
111051;Bargenstedt;LKN, Husum;Südermiele;9.123571;54.108189;1997-10-20;;Wasserstand;;false;37.12;-5.020000;2018-01-01;
114530;Boholz;LKN, Husum;Wellspanger Au;9.681932;54.628517;2003-09-02;;Wasserstand;2012-01-10;false;;8.000000;2003-09-19;
114233;Altenkattbek;LKN, Kiel;Jevenau;9.721908;54.236221;1984-11-01;;Wasserstand;1987-07-31;false;76.5;0.000000;1994-11-01;
114286;Bültsee;LKN, Kiel;Bültsee;9.750741;54.493858;1986-05-01;;Wasserstand;;false;1.85;0.000000;1994-11-01;
114018;Bünsdorf;LKN, Kiel;Schirnau;9.745614;54.368145;2003-09-01;2020-01-22;Wasserstand;;true;48.15;2.450000;2003-09-01;
111058;Dieksander Koog;LKN, Husum;Dieksander Priel;8.886937;54.001316;1997-10-15;2020-01-22;Wasserstand;;true;11.15;-5.020000;2018-01-01;
114212;Alt Duvenstedt;LKN, Kiel;Otternbek;9.645651;54.370625;1984-11-01;;Wasserstand;2013-07-11;false;3.99;-0.088000;2010-03-26;
111065;Arlau-Schleuse AP;LKN, Husum;Speicherbecken Arlau;8.940144;54.546158;2000-01-01;2020-01-22;Wasserstand;;true;;-5.000000;1999-12-08;
114332;Bargfeld;LKN, Kiel;Bünzau;9.819099;54.045864;1992-08-01;;Wasserstand;;false;199.0;0.000000;2011-09-12;Elbe, Nordsee
111061;Barlter Neuendeich;LKN, Husum;Meentenstrom;9.011357;54.025772;1997-12-09;2020-01-22;Wasserstand;;true;21.86;-5.000000;2018-01-01;
114453;Bondebrück;LKN, Husum;Bondenau;9.631142;54.699600;2001-12-07;2020-01-22;Wasserstand;;true;20.31;20.000000;2018-01-01;Tideeider, Nordsee
114595;Hörup;LKN, Husum;---;9.104856;54.744488;2005-01-11;;Wasserstand;;false;85.87;-3.000000;2005-01-11;
112211;Hollingstedt;LKN, Husum;Treene;9.327206;54.456074;1965-10-01;2020-01-22;Wasserstand;;true;596.74;-5.020000;2018-01-01;Eider, Nordsee
111019;Katingwatt-Strassenbrücke;LKN, Husum;Staubecken Katingwatt;8.862778;54.272423;1997-11-04;2020-01-22;Wasserstand;;true;50.35;-5.020000;2018-01-01;
114420;Klenzauer See;LKN, Kiel;Klenzauer See;10.573412;54.091953;1997-07-10;;Wasserstand;2017-03-22;false;6.85;26.000000;1997-07-10;
111016;Kotzenbüll;LKN, Husum;Norderbootfahrt;8.916196;54.328491;1980-11-04;;Wasserstand;;false;17.86;-5.030000;1994-11-01;
111042;Kronprinzenkoog-Mitte;LKN, Husum;Westerfleth;8.975327;53.929821;1998-01-05;;Wasserstand;;false;10.94;-4.990000;2018-01-01;
114534;Efkebüll AP;LKN, Husum;Soholmer Au;8.879502;54.713013;2003-11-13;;Wasserstand;2009-02-26;false;;-5.000000;2003-11-24;Nordsee (Schlütt, Süderaue)
114555;Hetlinger Schanze;LKN, Itzehoe;Haseldorfer Binnenelbe;9.610394;53.609894;2005-04-15;;Wasserstand;2012-01-17;false;;-5.000000;2004-12-20;
114322;Hochfelder See;LKN, Kiel;Hochfelder See;10.145016;54.195835;1990-11-22;;Wasserstand;2010-09-09;false;7.1;0.000000;1994-11-01;
114540;Kesdorf;LKN, Kiel;Schwartau;10.655534;54.069473;2003-10-29;;Wasserstand;;false;66.1;16.405001;2003-10-29;
114456;Frörup-OW;LKN, Husum;Treene;9.431046;54.696613;2001-12-07;;Wasserstand;;false;159.05;20.000000;2018-06-11;Eider, Nordsee
114302;Lilienthal;LKN, Kiel;Vorfl. Lilienthal;10.295824;54.309032;1989-12-01;;Wasserstand;1995-05-31;false;;0.000000;1994-11-01;
114350;Meldorf;LKN, Husum;Miele;9.041220;54.091663;1992-11-25;2020-01-22;Wasserstand;;true;237.35;-4.980000;2018-01-01;
111054;Meldorf-Sperrwerk BP;LKN, Husum;Speicherbecken Miele;8.951501;54.093117;2002-04-01;2020-01-22;Wasserstand;;true;403.95;-5.020000;2018-01-01;
111006;Morsum;LKN, Husum;Morsumgraben;8.411379;54.861084;2002-04-01;;Wasserstand;2003-11-01;false;;-5.000000;1978-10-26;
114124;Naherfurth;LKN, Itzehoe;Alster;10.124371;53.771809;1984-11-01;2020-01-22;Wasserstand;;true;77.1;21.601999;1999-11-01;Nordsee
114248;Neritz;LKN, Flintbek;Norderbeste;10.294273;53.783703;1984-12-01;;Wasserstand;2006-12-01;false;48.0;0.000000;1984-11-01;
114346;Spölbek;LKN, Husum;Schafflunder Mühlenstrom;9.081999;54.718533;1994-11-01;;Wasserstand;;false;86.96;-4.990000;2018-04-10;
114268;Stolpe;LKN, Kiel;Lachsbach;10.779927;54.158470;1986-07-01;2020-01-22;Wasserstand;;true;17.3;19.379000;2010-05-03;
111009;Strucklahnungshörn BP;LKN, Husum;Staubecken Strucklahnungshörn;8.807819;54.496368;1997-11-03;2020-01-22;Wasserstand;;true;19.71;-5.020000;1994-11-01;
111003;Süderhöft;LKN, Husum;Treene;9.256477;54.373734;1999-01-01;;Wasserstand;2012-02-01;false;;-5.010000;1994-11-01;Eider, Nordsee
114591;Tiebensee;LKN, Husum;---;9.023922;54.215122;2007-03-29;;Wasserstand;;false;4.38;-5.000000;2018-01-01;
114544;Niebuhrschleuse 1;LKN, Itzehoe;Riedebek;10.637472;53.455902;2004-01-22;;Wasserstand;2010-04-07;false;;9.306000;2004-03-29;
114272;Sarnekower See;LKN, Itzehoe;Sarnekower See;10.748400;53.549999;1986-12-08;;Wasserstand;;false;62.6;23.469000;1994-11-01;
114596;Schafflund-Wassermühle;LKN, Husum;Schafflunder Mühlenstrom;9.189043;54.759563;2005-01-11;;Wasserstand;;false;62.88;4.500000;2005-01-01;
114357;Spersdiek;LKN, Itzehoe;Panzergraben;9.161373;54.031738;1985-02-01;;Wasserstand;;false;10.72;-5.009000;1994-11-01;
114089;Oldesloe;LKN, Itzehoe;Trave;10.382864;53.810310;1984-11-01;;Wasserstand;;false;723.0;1.451000;1994-11-01;
114418;Rottensee;LKN, Kiel;Rottensee;10.476134;54.216843;1997-11-01;;Wasserstand;2009-01-05;false;22.5;0.000000;1998-10-01;
114204;Osterrönfeld/Wehrau;LKN, Kiel;Wehrau;9.702339;54.284676;1984-11-01;2020-01-22;Wasserstand;;true;110.0;0.000000;2010-07-29;
114197;Rellingen;LKN, Itzehoe;Mühlenau (Rellingen);9.848274;53.658108;1984-11-01;2020-01-22;Wasserstand;;true;74.79;3.319000;1994-11-01;
114349;Riesbriek;LKN, Husum;Linnau;9.090168;54.706200;1994-11-01;;Wasserstand;;false;72.17;-4.990000;2018-05-28;
114308;Schalkholz;LKN, Husum;Mühlenbach (Schalkholz);9.299476;54.249249;1996-11-01;;Wasserstand;2003-01-07;false;6.075;5.000000;1991-04-19;
114178;Schlesen;LKN, Kiel;Selkau;10.326921;54.315796;1989-12-01;;Wasserstand;1994-10-31;false;7.98;19.000000;1994-11-01;
111010;Porrenkoog;LKN, Husum;Porrenkoog Sielzug;9.038270;54.473614;1997-11-04;;Wasserstand;;false;20.17;-5.010000;1994-11-01;
114463;Schönberg;LKN, Itzehoe;Schönau;10.413977;53.666481;2002-03-27;;Wasserstand;2009-01-06;false;17.12;46.740002;2002-07-10;
114524;Sieversdorf;LKN, Kiel;Malenter Au;10.556661;54.196224;2003-04-28;2020-01-22;Wasserstand;;true;44.4;0.000000;2003-05-26;
