model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.027129882826949885,0.10085295811347912,0.2128146453089245,0.08702290076335877,0.10526315789473684
GPT-4o,0.004428712132195968,0.06140595350186134,0.17163504968383017,0.0569620253164557,0.12104787714543812
Gemini,0.008246915216703047,0.06699526945676774,0.14939550949913644,0.04753673292999135,0.09067357512953367
Grok,0.012309489059716468,0.0933425504797878,0.21480530594779632,0.07708779443254818,0.11382113821138211
Claude,0.02150502216178769,0.08847855804088368,0.18426966292134833,0.06896551724137931,0.10411985018726592
