model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.019252458597950686,0.10364780825692797,0.21873467385973516,0.08149239077074127,0.11574301128003925
GPT-4o,0.003155927527582929,0.05715261438354522,0.1690307328605201,0.06863905325443787,0.12529550827423167
Gemini,0.005168507338477709,0.07007419277188555,0.17490062464508804,0.06708357021034678,0.11925042589437819
Grok,0.0163972036927687,0.10491055732031497,0.250926416093171,0.10492845786963434,0.13022763366860773
Claude,0.010598321891677538,0.09552588361538902,0.22306238185255198,0.08514664143803216,0.11909262759924386
