kulturdenkmaltyp,anzahl,anteil
Bauliche Anlage,288,0.8323699421965318
Gründenkmal,37,0.1069364161849711
Sachgesamtheit,18,0.05202312138728324
Mehrheit von baulichen Anlagen,1,0.002890173410404624
Schutzzone,1,0.002890173410404624
Sonstiges Denkmal,1,0.002890173410404624
