variable,statistik,wert
objektnummer,anzahl,346
objektnummer,fehlend,0
objektnummer,mittelwert,15826.803468208092
objektnummer,sd,15558.0841863537
objektnummer,min,439
objektnummer,median,9073.5
objektnummer,max,54878
