,Ortsteil,Alter,Geschlecht,Staat,Gebiet,Wohndauer
Ortsteil,1.0,-0.008916349673552756,-0.003954541399884082,-0.09493974783314159,0.057297816835555355,0.06362391291726516
Alter,-0.008916349673552756,1.0,0.1766119973077764,0.06710843796446414,0.01394988508798324,-0.015358617547378453
Geschlecht,-0.003954541399884082,0.1766119973077764,1.0,-0.0622724988929494,0.004796680622536145,0.025278840350794123
Staat,-0.09493974783314159,0.06710843796446414,-0.0622724988929494,1.0,0.057289990740653635,0.015176354144447913
Gebiet,0.057297816835555355,0.01394988508798324,0.004796680622536145,0.057289990740653635,1.0,0.41111678102710353
Wohndauer,0.06362391291726516,-0.015358617547378453,0.025278840350794123,0.015176354144447913,0.41111678102710353,1.0
