Unterkunftsart,anzahl,anteil_prozent
Privat,12598,74.70351043643264
EAE,3844,22.794117647058822
GU,161,0.9546963946869069
FMW,139,0.8242409867172675
Hotel,78,0.4625237191650854
GWg,44,0.26091081593927895
