,fehlende_werte,anteil_prozent
Wohndauer,13695,81.20849146110058
Gebiet,243,1.4409392789373814
Ortsteil,86,0.5099620493358633
typ,0,0.0
Einzugsdatum,0,0.0
Registrierungssdatum,0,0.0
Geschlecht,0,0.0
Alter,0,0.0
Staat,0,0.0
Unterkunftsart,0,0.0
