,count,mean,std,min,25%,50%,75%,max
typ,0.0,,,,,,,
Ortsteil,16778.0,40.286923352008586,32.124848421324415,0.0,13.0,31.0,71.0,95.0
Einzugsdatum,16864.0,1.650574262049336e+18,5146703647794427.0,1.6456608e+18,1.647216e+18,1.6487712e+18,1.6513632e+18,1.6715808e+18
Registrierungssdatum,16864.0,1.6527255677419356e+18,5955910280002660.0,1.6461792e+18,1.6485984e+18,1.650672e+18,1.6546464e+18,1.6723584e+18
Alter,16864.0,30.868833017077797,20.194173731775045,0.0,13.0,30.0,44.0,99.0
Geschlecht,16864.0,1.6387571157495255,0.48037500603579814,1.0,1.0,2.0,2.0,2.0
Staat,16864.0,186.04548149905122,116.17963322546417,0.0,166.0,166.0,166.0,999.0
Gebiet,16621.0,143.76006257144576,67.4859708777682,0.0,166.0,166.0,166.0,996.0
Unterkunftsart,0.0,,,,,,,
Wohndauer,3169.0,78.47459766487852,60.57478318305605,0.0,33.0,60.0,108.0,302.0
