,anteil_fehlend
typ,0.0
Ortsteil,0.0050996204933586335
Einzugsdatum,0.0
Registrierungssdatum,0.0
Alter,0.0
Geschlecht,0.0
Staat,0.0
Gebiet,0.014409392789373815
Unterkunftsart,0.0
Wohndauer,0.8120849146110057
