model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.03890145242821033,0.1511625789169704,0.2691292875989446,0.09825673534072901,0.14142480211081795
GPT-4o,0.023862197713055852,0.1226677001809902,0.2549394518801784,0.09189534141671984,0.16698534098151688
Gemini,0.018450693830688238,0.10373686057205211,0.20752269779507135,0.07272727272727272,0.12581063553826202
Grok,0.03573612713412411,0.15346203317617313,0.30675593426658554,0.1194393662400975,0.16068167985392573
Claude,0.0373678031437022,0.1429634890489701,0.27593470247498686,0.10015814443858724,0.14218009478672985
