,count,mean,std,min,5%,25%,50%,75%,95%,max
Hauptprobenummer,104.0,201600429.0,0.0,201600429.0,201600429.0,201600429.0,201600429.0,201600429.0,201600429.0,201600429.0
Ergebnis_num,66.0,69396.41942878788,493324.71831549774,0.0,0.002,0.03,0.19,1.93,28750.0,4000000.0
