model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.038308590839659845,0.12102820166240975,0.2768259693417493,0.11191335740072202,0.12984670874661858
GPT-4o,0.006290972711138493,0.07099065790750218,0.2207931404072883,0.07510729613733906,0.13826366559485528
Gemini,0.005249244098659459,0.0706636531133662,0.17794352690463505,0.059733333333333326,0.10548748002131061
Grok,0.008924604091914435,0.09179118644461054,0.24392819429778248,0.08562367864693446,0.13727560718057025
Claude,0.022691291974896815,0.10053328433957325,0.2655565293602103,0.09736842105263159,0.1270815074496056
